name,num_words,word_len_sd,word_len_mean,vocab,vocab_noun,vocab_descriptors,vocab_norm,vocab_noun_norm,vocab_descriptors_norm,sent_len_mean,dep_depth_mean,dep_depth_sd
1847 - Jane Eyre by Charlotte Bronte,1737,2.643004436776111,4.059760956175299,874,373,354,0.5031663788140472,0.21473805411629246,0.20379965457685664,28.783333333333335,3.9844559585492227,2.961913320582122
1886 - Dr Jekyll and Mr Hyde by Louis Stevenson,1899,2.248879303705658,3.7202216066481992,734,282,300,0.3865192206424434,0.1484992101105845,0.1579778830963665,23.860759493670887,3.2422327540810953,2.2592123655025316
